,0,1,2
0,56.0,158.0,104.0
1,57.0,164.0,104.0
2,58.0,169.0,104.0
3,59.0,174.0,105.0
4,60.0,180.0,105.0
5,61.0,185.0,106.0
6,62.0,191.0,107.0
7,63.0,196.0,107.0
8,64.0,202.0,108.0
9,65.0,208.0,109.0
10,66.0,214.0,110.0
11,67.0,220.0,110.0
12,68.0,226.0,111.0
13,69.0,232.0,112.0
14,70.0,239.0,112.0
15,71.0,245.0,113.0
16,72.0,251.0,112.0
17,73.0,258.0,112.0
18,74.0,264.0,111.0
19,75.0,271.0,111.0
20,76.0,277.0,111.0
21,77.0,283.0,110.0
22,78.0,289.0,110.0
23,79.0,294.0,109.0
24,80.0,300.0,110.0
25,81.0,306.0,110.0
26,82.0,313.0,112.0
27,83.0,319.0,113.0
28,84.0,326.0,115.0
29,85.0,333.0,115.0
30,86.0,339.0,116.0
31,87.0,346.0,116.0
32,88.0,352.0,117.0
33,89.0,359.0,118.0
34,90.0,366.0,118.0
35,91.0,373.0,119.0
36,92.0,380.0,120.0
37,93.0,386.0,121.0
38,94.0,393.0,122.0
39,95.0,400.0,124.0
40,96.0,406.0,126.0
41,97.0,412.0,127.0
42,98.0,418.0,128.0
43,99.0,424.0,130.0
44,100.0,430.0,132.0
45,101.0,436.0,134.0
46,102.0,443.0,135.0
47,103.0,449.0,137.0
48,104.0,456.0,138.0
49,105.0,462.0,138.0
50,106.0,469.0,138.0
51,107.0,476.0,138.0
52,108.0,484.0,136.0
53,109.0,490.0,134.0
54,110.0,494.0,129.0
55,111.0,499.0,126.0
56,112.0,505.0,124.0
57,113.0,510.0,122.0
58,114.0,515.0,121.0
59,115.0,519.0,120.0
60,116.0,524.0,119.0
61,117.0,529.0,119.0
62,118.0,535.0,118.0
63,119.0,541.0,118.0
64,120.0,547.0,117.0
65,121.0,553.0,117.0
66,122.0,559.0,116.0
67,123.0,565.0,114.0
68,124.0,569.0,113.0
69,125.0,573.0,110.0
70,126.0,577.0,107.0
71,127.0,582.0,104.0
72,128.0,586.0,100.0
73,129.0,603.0,105.0
74,130.0,609.0,104.0
75,131.0,620.0,101.0
76,132.0,629.0,98.0
77,133.0,636.0,97.0
78,134.0,640.0,94.0
79,135.0,641.0,90.0
80,136.0,653.0,90.0
81,137.0,657.0,89.0
82,138.0,663.0,86.0
83,139.0,667.0,84.0
84,140.0,669.0,82.0
85,141.0,671.0,82.0
86,142.0,673.0,82.0
87,143.0,674.0,83.0
88,144.0,676.0,84.0
89,145.0,679.0,84.0
90,146.0,681.0,85.0
91,147.0,682.0,86.0
92,148.0,685.0,88.0
93,149.0,692.0,91.0
94,150.0,695.0,92.0
95,151.0,699.0,93.0
96,152.0,701.0,93.0
97,153.0,706.0,94.0
98,154.0,711.0,94.0
99,155.0,717.0,96.0
100,156.0,724.0,97.0
101,157.0,732.0,97.0
102,158.0,737.0,97.0
103,159.0,741.0,97.0
104,160.0,743.0,96.0
105,161.0,741.0,94.0
106,162.0,745.0,94.0
107,163.0,754.0,93.0
108,164.0,755.0,93.0
109,165.0,756.0,92.0
110,166.0,758.0,91.0
111,167.0,758.0,91.0
112,168.0,758.0,92.0
113,169.0,760.0,93.0
114,170.0,763.0,95.0
115,171.0,765.0,98.0
116,172.0,771.0,99.0
117,173.0,775.0,102.0
118,174.0,783.0,103.0
119,175.0,790.0,104.0
120,176.0,793.0,106.0
121,177.0,801.0,106.0
122,178.0,809.0,105.0
123,179.0,808.0,107.0
124,180.0,815.0,108.0
125,181.0,821.0,108.0
126,182.0,826.0,108.0
127,183.0,832.0,108.0
128,184.0,835.0,108.0
129,185.0,835.0,105.0
130,186.0,848.0,107.0
131,187.0,854.0,108.0
132,188.0,866.0,109.0
133,189.0,871.0,109.0
134,190.0,879.0,110.0
135,191.0,885.0,109.0
136,192.0,890.0,108.0
137,193.0,895.0,108.0
138,194.0,900.0,109.0
139,195.0,904.0,108.0
140,196.0,911.0,108.0
141,197.0,919.0,108.0
142,198.0,928.0,109.0
143,199.0,937.0,110.0
144,200.0,946.0,111.0
145,201.0,954.0,111.0
146,202.0,959.0,111.0
147,203.0,964.0,110.0
148,204.0,974.0,111.0
149,205.0,980.0,110.0
150,206.0,985.0,109.0
151,207.0,993.0,110.0
152,208.0,999.0,110.0
153,209.0,1005.0,110.0
154,210.0,1010.0,109.0
155,211.0,1017.0,109.0
156,212.0,1022.0,109.0
157,213.0,1026.0,109.0
158,214.0,1032.0,109.0
159,215.0,1038.0,109.0
160,216.0,1045.0,109.0
161,217.0,1053.0,109.0
162,218.0,1057.0,108.0
163,219.0,1063.0,108.0
164,220.0,1070.0,109.0
165,221.0,1076.0,108.0
166,222.0,1082.0,108.0
167,223.0,1089.0,108.0
168,224.0,1097.0,108.0
169,225.0,1105.0,109.0
170,226.0,1114.0,109.0
171,227.0,1122.0,109.0
172,228.0,1129.0,109.0
173,229.0,1136.0,109.0
174,230.0,1142.0,108.0
175,231.0,1148.0,108.0
176,232.0,1155.0,107.0
