,0,1,2
0,51.0,161.0,140.0
1,52.0,169.0,143.0
2,53.0,176.0,146.0
3,54.0,182.0,149.0
4,55.0,189.0,153.0
5,56.0,196.0,155.0
6,57.0,202.0,156.0
7,58.0,208.0,158.0
8,59.0,214.0,158.0
9,60.0,219.0,158.0
10,61.0,225.0,158.0
11,62.0,230.0,157.0
12,63.0,236.0,157.0
13,64.0,241.0,156.0
14,65.0,246.0,154.0
15,66.0,252.0,154.0
16,67.0,258.0,153.0
17,68.0,265.0,153.0
18,69.0,271.0,153.0
19,70.0,277.0,153.0
20,71.0,283.0,152.0
21,72.0,290.0,152.0
22,73.0,296.0,152.0
23,74.0,302.0,151.0
24,75.0,309.0,152.0
25,76.0,315.0,151.0
26,77.0,322.0,151.0
27,78.0,328.0,151.0
28,79.0,334.0,151.0
29,80.0,340.0,152.0
30,81.0,347.0,152.0
31,82.0,353.0,153.0
32,83.0,359.0,153.0
33,84.0,365.0,154.0
34,85.0,370.0,155.0
35,86.0,376.0,155.0
36,87.0,382.0,156.0
37,88.0,387.0,157.0
38,89.0,393.0,158.0
39,90.0,399.0,159.0
40,91.0,404.0,159.0
41,92.0,410.0,160.0
42,93.0,416.0,160.0
43,94.0,421.0,161.0
44,95.0,427.0,161.0
45,96.0,432.0,161.0
46,97.0,437.0,162.0
47,98.0,442.0,162.0
48,99.0,448.0,162.0
49,100.0,453.0,162.0
50,101.0,460.0,162.0
51,102.0,465.0,162.0
52,103.0,472.0,161.0
53,104.0,476.0,162.0
54,105.0,483.0,161.0
55,106.0,488.0,162.0
56,107.0,494.0,161.0
57,108.0,500.0,160.0
58,109.0,505.0,159.0
59,110.0,510.0,158.0
60,111.0,515.0,157.0
61,112.0,520.0,156.0
62,113.0,524.0,155.0
63,114.0,529.0,153.0
64,115.0,533.0,152.0
65,116.0,537.0,150.0
66,117.0,542.0,148.0
67,118.0,546.0,147.0
68,119.0,551.0,146.0
69,120.0,556.0,145.0
70,121.0,560.0,143.0
71,122.0,565.0,142.0
72,123.0,569.0,142.0
73,124.0,573.0,142.0
74,125.0,578.0,141.0
75,126.0,584.0,139.0
76,127.0,589.0,136.0
77,128.0,596.0,132.0
78,129.0,602.0,127.0
79,130.0,610.0,124.0
80,131.0,617.0,121.0
81,132.0,624.0,120.0
82,133.0,630.0,119.0
83,134.0,638.0,116.0
84,135.0,644.0,115.0
85,136.0,650.0,114.0
86,137.0,656.0,114.0
87,138.0,661.0,114.0
88,139.0,668.0,111.0
89,140.0,671.0,113.0
90,141.0,674.0,114.0
91,142.0,675.0,116.0
92,143.0,674.0,118.0
93,144.0,671.0,120.0
94,145.0,669.0,121.0
95,146.0,667.0,121.0
96,147.0,666.0,119.0
97,148.0,668.0,118.0
98,149.0,672.0,116.0
99,150.0,678.0,113.0
100,151.0,683.0,112.0
101,152.0,686.0,110.0
102,153.0,689.0,109.0
103,154.0,694.0,107.0
104,155.0,698.0,105.0
105,156.0,704.0,103.0
106,157.0,709.0,101.0
107,158.0,714.0,101.0
108,159.0,718.0,100.0
109,160.0,723.0,101.0
110,161.0,726.0,102.0
111,162.0,729.0,102.0
112,163.0,734.0,101.0
113,164.0,740.0,100.0
114,165.0,746.0,99.0
115,166.0,751.0,97.0
116,167.0,756.0,95.0
117,168.0,761.0,92.0
118,169.0,765.0,89.0
119,170.0,768.0,85.0
120,171.0,771.0,81.0
121,172.0,774.0,77.0
122,173.0,777.0,73.0
123,174.0,781.0,70.0
124,175.0,785.0,67.0
125,176.0,790.0,65.0
126,177.0,795.0,63.0
127,178.0,799.0,61.0
128,179.0,805.0,60.0
129,180.0,811.0,59.0
130,181.0,817.0,58.0
131,182.0,823.0,58.0
132,183.0,829.0,58.0
133,184.0,837.0,57.0
134,185.0,842.0,57.0
135,186.0,848.0,57.0
136,187.0,854.0,57.0
137,188.0,859.0,57.0
138,189.0,865.0,57.0
139,190.0,870.0,58.0
140,191.0,876.0,58.0
141,192.0,881.0,59.0
142,193.0,886.0,59.0
143,194.0,891.0,60.0
144,195.0,895.0,61.0
145,196.0,901.0,61.0
146,197.0,906.0,62.0
147,198.0,910.0,63.0
148,199.0,915.0,63.0
149,200.0,919.0,64.0
150,201.0,925.0,65.0
151,202.0,930.0,65.0
152,203.0,935.0,65.0
153,204.0,942.0,66.0
154,205.0,947.0,66.0
155,206.0,953.0,66.0
156,207.0,960.0,66.0
157,208.0,966.0,66.0
158,209.0,973.0,67.0
159,210.0,978.0,66.0
160,211.0,985.0,66.0
161,212.0,991.0,66.0
162,213.0,997.0,66.0
163,214.0,1003.0,65.0
164,215.0,1009.0,65.0
165,216.0,1016.0,65.0
166,217.0,1022.0,64.0
167,218.0,1028.0,64.0
168,219.0,1034.0,63.0
169,220.0,1040.0,62.0
170,221.0,1046.0,61.0
171,222.0,1051.0,60.0
172,223.0,1057.0,59.0
173,224.0,1065.0,58.0
174,225.0,1071.0,57.0
175,226.0,1077.0,56.0
176,227.0,1084.0,55.0
